composition,trial,time,acetate,biomass,butanol,butyrate,ethanol,flow rate,H2,CO,CO2,acetate_0,biomass_0,butanol_0,butyrate_0,ethanol_0
1,1,0.5800000000000001,21.61,0.41,0.04,0.06,10.94,20,0.125,0.5,0.375,16.90502895927611,0.42954570135746833,0.029818099547511474,0.07552850678733072,15.895239819004608
1,1,0.6499999999999999,44.31,0.39,0.05,0.08,15.89,20,0.125,0.5,0.375,16.90502895927611,0.42954570135746833,0.029818099547511474,0.07552850678733072,15.895239819004608
1,1,1.02,46.19,0.46,0.21,0.64,8.14,20,0.125,0.5,0.375,16.90502895927611,0.42954570135746833,0.029818099547511474,0.07552850678733072,15.895239819004608
1,1,1.67,46.16,0.49,1.18,3.64,10.81,20,0.125,0.5,0.375,16.90502895927611,0.42954570135746833,0.029818099547511474,0.07552850678733072,15.895239819004608
1,1,3.7,34.39,0.64,8.44,9.76,20.34,20,0.125,0.5,0.375,16.90502895927611,0.42954570135746833,0.029818099547511474,0.07552850678733072,15.895239819004608
1,1,5.06,27.08,0.67,14.09,8.56,28.92,20,0.125,0.5,0.375,16.90502895927611,0.42954570135746833,0.029818099547511474,0.07552850678733072,15.895239819004608
1,1,5.51,19.96,0.67,16.06,4.9,32.73,20,0.125,0.5,0.375,16.90502895927611,0.42954570135746833,0.029818099547511474,0.07552850678733072,15.895239819004608
1,2,0.5800000000000001,22.98,0.38,0.39,0.06,11.18,20,0.125,0.5,0.375,15.080408144796461,0.3895113122171966,0.18045520361991046,0.06202533936651619,16.583848868778368
1,2,0.6499999999999999,44.31,0.32,0.45,0.13,13.75,20,0.125,0.5,0.375,15.080408144796461,0.3895113122171966,0.18045520361991046,0.06202533936651619,16.583848868778368
1,2,1.02,70.5,0.37,0.72,0.6,9.42,20,0.125,0.5,0.375,15.080408144796461,0.3895113122171966,0.18045520361991046,0.06202533936651619,16.583848868778368
1,2,1.67,52.97,0.41,1.82,2.49,10.54,20,0.125,0.5,0.375,15.080408144796461,0.3895113122171966,0.18045520361991046,0.06202533936651619,16.583848868778368
1,2,3.7,38.74,0.55,10.4,14.49,16.69,20,0.125,0.5,0.375,15.080408144796461,0.3895113122171966,0.18045520361991046,0.06202533936651619,16.583848868778368
1,2,5.06,24.03,0.51,19.0,10.17,20.33,20,0.125,0.5,0.375,15.080408144796461,0.3895113122171966,0.18045520361991046,0.06202533936651619,16.583848868778368
1,2,5.51,24.14,0.51,25.5,6.13,29.7,20,0.125,0.5,0.375,15.080408144796461,0.3895113122171966,0.18045520361991046,0.06202533936651619,16.583848868778368
2,1,0.030000000000000027,15.16,0.32,0.07,0.26,21.44,20,0.41700000000000004,0.33299999999999996,0.25,17.1955701357467,0.3522099547511331,0.06762081447963837,0.1571556561085981,21.067345701357574
2,1,0.6799999999999999,44.2,0.38,0.06,0.07,19.55,20,0.41700000000000004,0.33299999999999996,0.25,17.1955701357467,0.3522099547511331,0.06762081447963837,0.1571556561085981,21.067345701357574
2,1,1.08,70.57,0.46,0.22,0.53,20.32,20,0.41700000000000004,0.33299999999999996,0.25,17.1955701357467,0.3522099547511331,0.06762081447963837,0.1571556561085981,21.067345701357574
2,1,1.3399999999999999,77.14,0.49,0.52,1.3,21.78,20,0.41700000000000004,0.33299999999999996,0.25,17.1955701357467,0.3522099547511331,0.06762081447963837,0.1571556561085981,21.067345701357574
2,1,2.69,85.58,0.56,1.47,3.04,32.77,20,0.41700000000000004,0.33299999999999996,0.25,17.1955701357467,0.3522099547511331,0.06762081447963837,0.1571556561085981,21.067345701357574
2,1,3.5999999999999996,59.21,0.54,5.18,5.73,52.04,20,0.41700000000000004,0.33299999999999996,0.25,17.1955701357467,0.3522099547511331,0.06762081447963837,0.1571556561085981,21.067345701357574
2,1,4.6,47.82,0.61,15.9,11.98,66.72,20,0.41700000000000004,0.33299999999999996,0.25,17.1955701357467,0.3522099547511331,0.06762081447963837,0.1571556561085981,21.067345701357574
2,2,0.030000000000000027,14.38,0.35,0.08,0.08,24.82,20,0.41700000000000004,0.33299999999999996,0.25,15.409038009049858,0.3697864253393685,0.06817918552036235,0.035988235294117876,24.36996199095035
2,2,0.6799999999999999,31.45,0.38,0.03,0.12,18.71,20,0.41700000000000004,0.33299999999999996,0.25,15.409038009049858,0.3697864253393685,0.06817918552036235,0.035988235294117876,24.36996199095035
2,2,1.08,70.64,0.47,0.34,1.21,21.57,20,0.41700000000000004,0.33299999999999996,0.25,15.409038009049858,0.3697864253393685,0.06817918552036235,0.035988235294117876,24.36996199095035
2,2,1.3399999999999999,63.87,0.52,0.92,2.37,23.31,20,0.41700000000000004,0.33299999999999996,0.25,15.409038009049858,0.3697864253393685,0.06817918552036235,0.035988235294117876,24.36996199095035
2,2,2.69,67.0,0.56,1.75,3.4,26.64,20,0.41700000000000004,0.33299999999999996,0.25,15.409038009049858,0.3697864253393685,0.06817918552036235,0.035988235294117876,24.36996199095035
2,2,3.5999999999999996,61.44,0.55,6.25,6.34,53.64,20,0.41700000000000004,0.33299999999999996,0.25,15.409038009049858,0.3697864253393685,0.06817918552036235,0.035988235294117876,24.36996199095035
2,2,4.6,42.04,0.64,16.26,12.26,68.97,20,0.41700000000000004,0.33299999999999996,0.25,15.409038009049858,0.3697864253393685,0.06817918552036235,0.035988235294117876,24.36996199095035
3,1,0.56,14.64,0.21,0.05,0.09,19.23,20,0.313,0.25,0.43799999999999994,13.197619909502333,0.27995475113122315,0.027778280542986575,0.04557013574660658,19.569904977375668
3,1,0.79,13.34,0.24,0.03,0.07,19.98,20,0.313,0.25,0.43799999999999994,13.197619909502333,0.27995475113122315,0.027778280542986575,0.04557013574660658,19.569904977375668
3,1,1.6400000000000001,81.51,0.35,0.05,0.12,13.24,20,0.313,0.25,0.43799999999999994,13.197619909502333,0.27995475113122315,0.027778280542986575,0.04557013574660658,19.569904977375668
3,1,1.7999999999999998,92.89,0.41,0.08,0.44,16.0,20,0.313,0.25,0.43799999999999994,13.197619909502333,0.27995475113122315,0.027778280542986575,0.04557013574660658,19.569904977375668
3,1,2.84,91.64,0.4,1.58,3.0,32.34,20,0.313,0.25,0.43799999999999994,13.197619909502333,0.27995475113122315,0.027778280542986575,0.04557013574660658,19.569904977375668
3,1,4.6,68.04,0.4,8.4,6.34,58.35,20,0.313,0.25,0.43799999999999994,13.197619909502333,0.27995475113122315,0.027778280542986575,0.04557013574660658,19.569904977375668
3,1,5.1,54.58,0.41,11.01,6.71,64.0,20,0.313,0.25,0.43799999999999994,13.197619909502333,0.27995475113122315,0.027778280542986575,0.04557013574660658,19.569904977375668
3,1,5.65,44.27,0.44,15.32,6.24,76.19,20,0.313,0.25,0.43799999999999994,13.197619909502333,0.27995475113122315,0.027778280542986575,0.04557013574660658,19.569904977375668
3,2,0.56,22.23,0.26,0.22,0.8,17.81,20,0.313,0.25,0.43799999999999994,16.198875113122256,0.30735294117647216,0.09659728506787382,0.2358914027149334,18.896226244343993
3,2,0.79,14.35,0.29,0.04,0.06,16.76,20,0.313,0.25,0.43799999999999994,16.198875113122256,0.30735294117647216,0.09659728506787382,0.2358914027149334,18.896226244343993
3,2,1.6400000000000001,82.63,0.39,0.16,0.59,20.67,20,0.313,0.25,0.43799999999999994,16.198875113122256,0.30735294117647216,0.09659728506787382,0.2358914027149334,18.896226244343993
3,2,1.7999999999999998,81.3,0.37,0.24,0.63,22.8,20,0.313,0.25,0.43799999999999994,16.198875113122256,0.30735294117647216,0.09659728506787382,0.2358914027149334,18.896226244343993
3,2,2.84,65.48,0.44,1.48,1.78,52.4,20,0.313,0.25,0.43799999999999994,16.198875113122256,0.30735294117647216,0.09659728506787382,0.2358914027149334,18.896226244343993
3,2,4.6,64.61,0.47,6.12,3.61,91.7,20,0.313,0.25,0.43799999999999994,16.198875113122256,0.30735294117647216,0.09659728506787382,0.2358914027149334,18.896226244343993
3,2,5.1,48.97,0.47,7.35,3.88,96.94,20,0.313,0.25,0.43799999999999994,16.198875113122256,0.30735294117647216,0.09659728506787382,0.2358914027149334,18.896226244343993
3,2,5.65,44.11,0.47,9.96,3.77,109.1,20,0.313,0.25,0.43799999999999994,16.198875113122256,0.30735294117647216,0.09659728506787382,0.2358914027149334,18.896226244343993
4,1,0.08000000000000007,8.94,0.26,0.08,0.19,15.4,20,0.313,0.5,0.188,7.442660633484206,0.28575565610859877,0.09606787330316793,0.18516289592760277,16.39097285067882
4,1,0.5800000000000001,23.86,0.31,0.12,0.15,17.64,20,0.313,0.5,0.188,7.442660633484206,0.28575565610859877,0.09606787330316793,0.18516289592760277,16.39097285067882
4,1,0.8,32.97,0.33,0.18,0.16,18.66,20,0.313,0.5,0.188,7.442660633484206,0.28575565610859877,0.09606787330316793,0.18516289592760277,16.39097285067882
4,1,1.15,39.16,0.37,0.46,0.45,27.42,20,0.313,0.5,0.188,7.442660633484206,0.28575565610859877,0.09606787330316793,0.18516289592760277,16.39097285067882
4,1,1.7000000000000002,36.96,0.41,1.57,0.92,40.96,20,0.313,0.5,0.188,7.442660633484206,0.28575565610859877,0.09606787330316793,0.18516289592760277,16.39097285067882
4,1,1.83,31.14,0.37,1.99,1.23,47.66,20,0.313,0.5,0.188,7.442660633484206,0.28575565610859877,0.09606787330316793,0.18516289592760277,16.39097285067882
4,1,2.79,19.49,0.37,3.55,0.9,64.16,20,0.313,0.5,0.188,7.442660633484206,0.28575565610859877,0.09606787330316793,0.18516289592760277,16.39097285067882
4,1,2.92,17.79,0.34,3.68,1.48,63.97,20,0.313,0.5,0.188,7.442660633484206,0.28575565610859877,0.09606787330316793,0.18516289592760277,16.39097285067882
4,1,5.05,25.71,0.27,3.71,0.67,61.53,20,0.313,0.5,0.188,7.442660633484206,0.28575565610859877,0.09606787330316793,0.18516289592760277,16.39097285067882
4,2,0.08000000000000007,9.89,0.28,0.09,0.1,15.21,20,0.313,0.5,0.188,11.413597285067935,0.2953076923076939,0.08552941176470633,0.14299095022624508,16.38649321266977
4,2,0.5800000000000001,29.96,0.32,0.08,0.09,14.15,20,0.313,0.5,0.188,11.413597285067935,0.2953076923076939,0.08552941176470633,0.14299095022624508,16.38649321266977
4,2,0.8,33.96,0.31,0.08,0.12,16.0,20,0.313,0.5,0.188,11.413597285067935,0.2953076923076939,0.08552941176470633,0.14299095022624508,16.38649321266977
