composition,trial,time,biomass (g/L),ethanol (mM),acetate (mM),butanol (mM),butyrate (mM),N2,CO,CO2,H2,flow rate (mL/min)
1,1,0,0.01,0,0.23,0,0.06,60,20,15,5,20
1,1,0.57,0.45,12.81,10.89,0.03,0.09,60,20,15,5,20
1,1,0.67,0.44,15.59,16.42,0.03,0.13,60,20,15,5,20
1,1,0.9,0.41,17.11,17.75,0.03,0.07,60,20,15,5,20
1,1,1.58,0.41,10.93,21.59,0.04,0.06,60,20,15,5,20
1,1,1.65,0.39,15.86,44.28,0.05,0.07,60,20,15,5,20
1,1,2.02,0.46,8.13,46.16,0.21,0.6,60,20,15,5,20
1,1,2.67,0.49,10.79,46.13,1.18,3.41,60,20,15,5,20
1,1,4.7,0.64,20.31,34.37,8.44,9.16,60,20,15,5,20
1,1,6.06,0.67,28.88,27.06,14.09,8.03,60,20,15,5,20
1,1,6.51,0.67,32.68,19.95,16.05,4.6,60,20,15,5,20
1,2,0,0.01,0,0.03,0,0.06,60,20,15,5,20
1,2,0.57,0.44,16.48,16.14,0.07,0.1,60,20,15,5,20
1,2,0.67,0.37,16.17,15.79,0.09,0.09,60,20,15,5,20
1,2,0.9,0.37,17.59,14.86,0.15,0.07,60,20,15,5,20
1,2,1.58,0.38,11.17,22.96,0.39,0.06,60,20,15,5,20
1,2,1.65,0.32,13.73,44.28,0.45,0.13,60,20,15,5,20
1,2,2.02,0.37,9.41,70.46,0.72,0.56,60,20,15,5,20
1,2,2.67,0.41,10.53,52.93,1.82,2.33,60,20,15,5,20
1,2,4.7,0.55,16.67,38.72,10.4,13.6,60,20,15,5,20
1,2,6.06,0.51,20.3,24.02,18.99,9.54,60,20,15,5,20
1,2,6.51,0.51,29.65,24.12,25.49,5.75,60,20,15,5,20
2,1,0,0.01,0,0.45,0,0.04,40,20,15,25,20
2,1,0.47,0.26,7.47,4.88,0.04,0.05,40,20,15,25,20
2,1,0.71,0.38,20.76,13.89,0.07,0.04,40,20,15,25,20
2,1,1.03,0.32,21.41,15.15,0.07,0.24,40,20,15,25,20
2,1,1.68,0.38,19.52,44.17,0.06,0.07,40,20,15,25,20
