,trial,time,acetate,biomass,butanol,butyrate,ethanol,Δ acetate,Δ biomass,Δ butanol,Δ butyrate,Δ ethanol,CO,CO2,H2,Flow Rate
1,1,0.5800000000000001,21.61,0.41,0.04,0.06,10.94,324.2857142857151,-0.2857142857142858,0.1428571428571432,0.2857142857142864,70.7142857142859,0.5,0.375,0.125,1
1,1,0.6499999999999999,44.31,0.39,0.05,0.08,15.89,5.081081081081067,0.18918918918918914,0.43243243243243223,1.5135135135135132,-20.94594594594594,0.5,0.375,0.125,1
1,1,1.02,46.19,0.46,0.21,0.64,8.14,-0.04615384615384791,0.046153846153846115,1.4923076923076926,4.615384615384616,4.107692307692308,0.5,0.375,0.125,1
1,1,1.67,46.16,0.49,1.18,3.64,10.81,-5.798029556650244,0.07389162561576355,3.576354679802955,3.014778325123152,4.694581280788176,0.5,0.375,0.125,1
1,1,3.7,34.39,0.64,8.44,9.76,20.34,-5.3750000000000036,0.022058823529411794,4.154411764705884,-0.8823529411764705,6.308823529411769,0.5,0.375,0.125,1
1,1,5.06,27.08,0.67,14.09,8.56,28.92,-15.82222222222221,0.0,4.377777777777774,-8.133333333333331,8.466666666666653,0.5,0.375,0.125,1
1,2,0.5800000000000001,22.98,0.38,0.39,0.06,11.18,304.71428571428646,-0.8571428571428591,0.8571428571428591,1.0000000000000024,36.7142857142858,0.5,0.375,0.125,1
1,2,0.6499999999999999,44.31,0.32,0.45,0.13,13.75,70.78378378378376,0.13513513513513506,0.7297297297297294,1.2702702702702697,-11.7027027027027,0.5,0.375,0.125,1
1,2,1.02,70.5,0.37,0.72,0.6,9.42,-26.969230769230773,0.061538461538461514,1.6923076923076927,2.9076923076923085,1.723076923076922,0.5,0.375,0.125,1
1,2,1.67,52.97,0.41,1.82,2.49,10.54,-7.009852216748766,0.06896551724137934,4.226600985221674,5.911330049261083,3.029556650246306,0.5,0.375,0.125,1
1,2,3.7,38.74,0.55,10.4,14.49,16.69,-10.81617647058824,-0.02941176470588239,6.323529411764708,-3.1764705882352957,2.676470588235293,0.5,0.375,0.125,1
1,2,5.06,24.03,0.51,19.0,10.17,20.33,0.24444444444444308,0.0,14.44444444444444,-8.977777777777774,20.822222222222216,0.5,0.375,0.125,1
2,1,0.030000000000000027,15.16,0.32,0.07,0.26,21.44,44.67692307692309,0.09230769230769231,-0.015384615384615401,-0.2923076923076923,-2.907692307692309,0.333,0.025,0.417,1
2,1,0.6799999999999999,44.2,0.38,0.06,0.07,19.55,65.92499999999995,0.19999999999999998,0.39999999999999986,1.1499999999999997,1.9249999999999983,0.333,0.025,0.417,1
2,1,1.08,70.57,0.46,0.22,0.53,20.32,25.26923076923082,0.11538461538461536,1.1538461538461549,2.961538461538464,5.615384615384623,0.333,0.025,0.417,1
2,1,1.3399999999999999,77.14,0.49,0.52,1.3,21.78,6.25185185185185,0.05185185185185189,0.7037037037037036,1.2888888888888888,8.14074074074074,0.333,0.025,0.417,1
2,1,2.69,85.58,0.56,1.47,3.04,32.77,-28.978021978021985,-0.021978021978022004,4.076923076923078,2.9560439560439575,21.17582417582418,0.333,0.025,0.417,1
